Name,Latitude,Longitude,Rating,Status,Food
Dimora Dance & Kitchen,18.53309902,73.87135287,4,Active,French
Ballr Pune,18.55198985,73.90537261,4.9,Active,French
WATERS : Bar & Kitchen,18.53821681,73.91271133,4,Active,French
FREQ - Superclub. Bar. Kitchen,18.53924166,73.91293856,4,Active,Indian
Penthouze Nightlife,18.53871624,73.9071126,3.6,Active,Japanese
High Spirits Café,18.53964815,73.90475908,4.3,Active,Japanese
Metro Lounge and Bar,18.53682385,73.91026117,3.9,Inactive,American
Unwind,18.53896041,73.91274836,4,Active,Greek
Orilla,18.53844753,73.91266113,4,Inactive,Mediterranean
Local Gastro Bar KP,18.53674231,73.91018541,3.9,Active,Japanese
Carnival Restaurant & Bar Pune,18.53304295,73.91573275,4.2,Active,Japanese
The Millers Homebar & Kitchen,18.53228965,73.87047272,4.1,Active,Mexican
2BHK Diner & Key Club,18.53267765,73.8709399,4.3,Active,Thai
Drama 9,18.53305274,73.87105919,3.9,Active,French
Socials,18.53195623,73.87067249,4.2,Active,French
Elephant and Co. Kalyani Nagar,18.54756266,73.90067936,4.3,Active,Mediterranean
Elrow pune,18.54464525,73.91128403,4,Active,Mexican
Unicorn House,18.54464531,73.91059698,4,Active,Thai
Talli Bar & Kitchen,18.53476789,73.89968564,4.2,Active,Japanese
PUBLIQ,18.53331324,73.89912774,4.1,Active,Thai
The Daily All Day Pune,18.53414424,73.89954479,4.4,Active,Indian
Kabana,18.53516006,73.88332092,4.5,Active,Greek
Mix@36,18.53341594,73.93284848,5,Inactive,American
The House Of Medici,18.53968116,73.90591935,4.2,Active,Japanese
AKARI - Lounge Bar & Kitchen,18.53918546,73.90689144,4.4,Active,Japanese
The Deccan Bid Capital,18.52490249,73.8418307,4.1,Active,Mediterranean
BarBerry,18.52555644,73.84178965,3.9,Active,Indian
BarBerry Paud Road,18.5114789,73.81711949,4.2,Active,Indian
Hippie@Heart[Bhandarkar Road],18.51894257,73.83623418,4.3,Inactive,Mediterranean
Hippie@Heart[Kothrud],18.51105161,73.81856788,4.2,Active,Greek
Ecstacy Bar & Eatery,18.51279131,73.81330003,4,Active,Mediterranean
Code The Speakeasy Bar,18.50931822,73.81214543,4.1,Active,Indian
FML - Food Music Love (NIBM),18.46763546,73.90181236,4.1,Active,Chinese
The Break Room Restro,18.46769356,73.90168805,3.9,Active,Mexican
BETOS' S Bar and Kitchen,18.46397339,73.9046159,3.7,Inactive,Greek
BEER & BEANS,18.46753143,73.90176263,4.2,Active,Chinese
FML- Food Music Love (Kalyani Nagar),18.54890529,73.90625378,3.8,Active,Mexican
Affairs | Kalyani Nagar,18.54913195,73.90652556,3.9,Active,Mexican
Toit Pune,18.55381238,73.9052634,4.5,Active,French
The Terrace Bar,18.55385457,73.90476433,4.5,Active,French
Paasha,18.5322272,73.82965473,4.5,Active,French
The Beer cafe,18.53750872,73.83010983,3.8,Inactive,Greek
THE BEER CAFE,18.55980468,73.80916715,1,Inactive,Chinese
Agent Jack's (Baner),18.5740146,73.77659713,4.1,Active,American
#LIIT - Live IIT Today,18.57085334,73.77214667,3.9,Active,Mediterranean
24K Kraft Brewzz | Microbrewery | Brewpub | Rooftop Restaurant in Balewadi High Street.,18.57036517,73.77538141,4.6,Active,Thai
Opheem Sky Lounge,18.5645322,73.76710361,4.5,Active,Indian
Independence Brewing Company,18.57122178,73.775069,4.3,Active,Greek
Hippie @ Heart Balewadi,18.57203184,73.77502974,4.3,Active,French
Butter - Bar & Kitchen,18.57032616,73.77521396,4.1,Active,Greek
The Urban Foundry (Baner),18.56942109,73.77457748,4.3,Active,Mexican
The 3 Musketeers Pub - Baner,18.5675277,73.77612368,4,Active,Mexican
The 3 Musketeers Pub,18.56565993,73.91386183,4.1,Active,American
Sash Cocktail Bar & Kitchen,18.56534753,73.91371904,4.8,Active,Japanese
Son Of A Gun,18.56147641,73.78566806,4,Active,Chinese
Smoky Beach,18.48775012,73.71502892,4.3,Active,American
Cafe CO2,18.49273637,73.73470156,4.3,Active,American
JZ Lake View Resto Bar,18.49765945,73.73466647,4.3,Active,Thai
Thikana Lakeview,18.49659124,73.73208236,4.2,Active,Indian
Plunge,18.53920211,73.8856123,4.1,Active,French
Sky High-The Pub & Lounge,18.51426991,73.83530313,3,Inactive,French
One Restaurant & Bar,18.53671782,73.91094587,4.1,Active,Greek
Gilt Club,18.55385175,73.94960631,4.1,Active,Mediterranean
Mikachi Club Bar & Kitchen,18.55382124,73.94847979,4.1,Active,Mexican
Playboy Beer Garden,18.59441263,73.78559362,4,Active,Mediterranean
Tipsy Turtle,18.50355596,73.76109888,4.1,Active,Thai
Filament Bar (Baner),18.55222804,73.8047945,4.2,Active,Greek
Culture Pune,18.52561255,73.84142124,4,Active,Mexican
Pune High Lounge & Rooftop Bar,18.50819831,73.78302237,4.1,Active,Chinese
SKYE Rooftop by Eternia,18.53613588,73.82971875,3.9,Active,Japanese
